workerid,proliferate.condition,explanation_response_1,intervention_response_1,error
2792,Condition_2,no preference,orange,
2840,Condition_2,blue,blue,
2834,Condition_2,no preference,blue,
2799,Condition_2,blue,blue,
2862,Condition_2,no preference,blue,
2816,Condition_2,no preference,orange,
2793,Condition_2,no preference,blue,
2820,Condition_2,blue,blue,
2824,Condition_2,orange,blue,
2778,Condition_2,no preference,blue,
2852,Condition_2,no preference,orange,
2879,Condition_2,no preference,blue,
2878,Condition_2,no preference,blue,
2874,Condition_2,blue,blue,
2788,Condition_2,no preference,blue,
2807,Condition_2,blue,blue,
2860,Condition_2,blue,blue,
2868,Condition_2,no preference,no preference,
2784,Condition_2,no preference,blue,
2848,Condition_2,no preference,blue,
2870,Condition_2,no preference,blue,
2830,Condition_2,no preference,blue,
2804,Condition_2,no preference,blue,
2828,Condition_2,no preference,blue,
2880,Condition_2,no preference,blue,
2856,Condition_2,no preference,blue,
2796,Condition_1,no preference,blue,
2822,Condition_1,no preference,no preference,
2847,Condition_1,blue,blue,
2787,Condition_1,no preference,blue,
2864,Condition_1,no preference,blue,
2872,Condition_1,no preference,orange,
2859,Condition_1,orange,blue,
2867,Condition_1,blue,blue,
2791,Condition_1,no preference,blue,
2808,Condition_1,blue,blue,
2876,Condition_1,blue,blue,
2800,Condition_1,no preference,blue,
2832,Condition_1,no preference,blue,
2780,Condition_1,no preference,blue,
2836,Condition_1,no preference,blue,
2855,Condition_1,no preference,blue,
2819,Condition_1,no preference,no preference,
2839,Condition_1,no preference,blue,
2881,Condition_1,orange,blue,
2815,Condition_1,blue,blue,
2844,Condition_1,no preference,blue,
2803,Condition_1,blue,blue,
2827,Condition_1,no preference,blue,
2783,Condition_1,no preference,blue,
2851,Condition_1,no preference,blue,
2801,Condition_4,no preference,orange,
2873,Condition_4,blue,orange,
2810,Condition_4,no preference,orange,
2833,Condition_4,orange,orange,
2795,Condition_4,no preference,orange,
2805,Condition_4,no preference,orange,
2849,Condition_4,no preference,orange,
2817,Condition_4,no preference,orange,
2865,Condition_4,orange,orange,
2809,Condition_4,orange,orange,
2837,Condition_4,no preference,blue,
2782,Condition_4,no preference,orange,
2842,Condition_4,orange,orange,
2853,Condition_4,no preference,orange,
2779,Condition_4,no preference,orange,
2798,Condition_4,no preference,orange,
2861,Condition_4,orange,orange,
2869,Condition_4,no preference,orange,
2790,Condition_4,no preference,blue,
2821,Condition_4,orange,orange,
2829,Condition_4,orange,orange,
2845,Condition_4,no preference,orange,
2877,Condition_4,orange,orange,
2857,Condition_4,no preference,orange,
2875,Condition_3,no preference,orange,
2802,Condition_3,no preference,orange,
2812,Condition_3,no preference,orange,
2797,Condition_3,no preference,no preference,
2843,Condition_3,no preference,orange,
2794,Condition_3,blue,blue,
2785,Condition_3,no preference,orange,
2838,Condition_3,blue,orange,
2777,Condition_3,orange,orange,
2850,Condition_3,blue,orange,
2818,Condition_3,no preference,orange,
2858,Condition_3,no preference,blue,
2781,Condition_3,blue,no preference,
2814,Condition_3,blue,blue,
2846,Condition_3,no preference,orange,
2863,Condition_3,no preference,orange,
2835,Condition_3,no preference,orange,
2831,Condition_3,no preference,orange,
2806,Condition_3,orange,orange,
2826,Condition_3,no preference,orange,
2789,Condition_3,no preference,blue,
2854,Condition_3,orange,orange,
2871,Condition_3,no preference,orange,
2823,Condition_3,no preference,orange,
2866,Condition_3,orange,orange,
