causal_structure,outcome,experiment,choice,type,probability
conjunctive,positive,hard,abnormal,explanation,0.4948453608247423
conjunctive,positive,hard,normal,explanation,0.1649484536082474
conjunctive,positive,hard,nopreference,explanation,0.3402061855670103
conjunctive,positive,hard,abnormal,intervention,0.6597938144329896
conjunctive,positive,hard,normal,intervention,0.28865979381443296
conjunctive,positive,hard,nopreference,intervention,0.05154639175257732
disjunctive,positive,hard,abnormal,explanation,0.26804123711340205
disjunctive,positive,hard,normal,explanation,0.19587628865979384
disjunctive,positive,hard,nopreference,explanation,0.5360824742268041
disjunctive,positive,hard,abnormal,intervention,0.4329896907216495
disjunctive,positive,hard,normal,intervention,0.27835051546391754
disjunctive,positive,hard,nopreference,intervention,0.28865979381443296
conjunctive,negative,hard,abnormal,explanation,0.17171717171717168
conjunctive,negative,hard,normal,explanation,0.37373737373737376
conjunctive,negative,hard,nopreference,explanation,0.45454545454545453
conjunctive,negative,hard,abnormal,intervention,0.1919191919191919
conjunctive,negative,hard,normal,intervention,0.6464646464646465
conjunctive,negative,hard,nopreference,intervention,0.16161616161616163
disjunctive,negative,hard,abnormal,explanation,0.08080808080808081
disjunctive,negative,hard,normal,explanation,0.48484848484848475
disjunctive,negative,hard,nopreference,explanation,0.4343434343434344
disjunctive,negative,hard,abnormal,intervention,0.13131313131313133
disjunctive,negative,hard,normal,intervention,0.8181818181818182
disjunctive,negative,hard,nopreference,intervention,0.050505050505050504
conjunctive,positive,soft,abnormal,explanation,0.5102040816326531
conjunctive,positive,soft,normal,explanation,0.11224489795918367
conjunctive,positive,soft,nopreference,explanation,0.37755102040816324
conjunctive,positive,soft,abnormal,intervention,0.653061224489796
conjunctive,positive,soft,normal,intervention,0.30612244897959184
conjunctive,positive,soft,nopreference,intervention,0.04081632653061225
disjunctive,positive,soft,abnormal,explanation,0.061224489795918366
disjunctive,positive,soft,normal,explanation,0.5816326530612245
disjunctive,positive,soft,nopreference,explanation,0.35714285714285715
disjunctive,positive,soft,abnormal,intervention,0.12244897959183673
disjunctive,positive,soft,normal,intervention,0.7959183673469387
disjunctive,positive,soft,nopreference,intervention,0.0816326530612245
conjunctive,negative,soft,abnormal,explanation,0.45454545454545453
conjunctive,negative,soft,normal,explanation,0.1414141414141414
conjunctive,negative,soft,nopreference,explanation,0.40404040404040403
conjunctive,negative,soft,abnormal,intervention,0.6767676767676768
conjunctive,negative,soft,normal,intervention,0.2222222222222222
conjunctive,negative,soft,nopreference,intervention,0.10101010101010101
disjunctive,negative,soft,abnormal,explanation,0.1111111111111111
disjunctive,negative,soft,normal,explanation,0.3535353535353536
disjunctive,negative,soft,nopreference,explanation,0.5353535353535354
disjunctive,negative,soft,abnormal,intervention,0.3535353535353536
disjunctive,negative,soft,normal,intervention,0.5555555555555556
disjunctive,negative,soft,nopreference,intervention,0.09090909090909091
conjunctive,positive,fixed,abnormal,explanation,0.5353535353535354
conjunctive,positive,fixed,normal,explanation,0.09090909090909091
conjunctive,positive,fixed,nopreference,explanation,0.37373737373737376
conjunctive,positive,fixed,abnormal,intervention,0.8080808080808081
conjunctive,positive,fixed,normal,intervention,0.1111111111111111
conjunctive,positive,fixed,nopreference,intervention,0.08080808080808081
disjunctive,positive,fixed,abnormal,explanation,0.2727272727272727
disjunctive,positive,fixed,normal,explanation,0.18181818181818182
disjunctive,positive,fixed,nopreference,explanation,0.5454545454545454
disjunctive,positive,fixed,abnormal,intervention,0.6565656565656566
disjunctive,positive,fixed,normal,intervention,0.12121212121212119
disjunctive,positive,fixed,nopreference,intervention,0.2222222222222222
conjunctive,negative,fixed,abnormal,explanation,0.17171717171717168
conjunctive,negative,fixed,normal,explanation,0.4242424242424242
conjunctive,negative,fixed,nopreference,explanation,0.40404040404040403
conjunctive,negative,fixed,abnormal,intervention,0.20202020202020202
conjunctive,negative,fixed,normal,intervention,0.6666666666666665
conjunctive,negative,fixed,nopreference,intervention,0.13131313131313133
disjunctive,negative,fixed,abnormal,explanation,0.08080808080808081
disjunctive,negative,fixed,normal,explanation,0.3939393939393939
disjunctive,negative,fixed,nopreference,explanation,0.5252525252525253
disjunctive,negative,fixed,abnormal,intervention,0.10101010101010101
disjunctive,negative,fixed,normal,intervention,0.797979797979798
disjunctive,negative,fixed,nopreference,intervention,0.10101010101010101
