workerid,proliferate.condition,explanation_response_1,explanation_response_2,intervention_response_1,intervention_response_2,error
1510,Disneg_Conneg,blue,no preference,blue,blue,
1512,Disneg_Conneg,blue,no preference,blue,no preference,
1494,Disneg_Conneg,blue,orange,orange,blue,
1527,Disneg_Conneg,no preference,no preference,orange,orange,
1549,Disneg_Conneg,blue,blue,blue,orange,
1565,Disneg_Conneg,blue,no preference,blue,no preference,
1539,Disneg_Conneg,orange,orange,blue,blue,
1559,Disneg_Conneg,no preference,no preference,blue,blue,
1525,Disneg_Conneg,no preference,no preference,blue,blue,
1468,Disneg_Conneg,no preference,orange,blue,orange,
1569,Disneg_Conneg,no preference,no preference,orange,blue,
1535,Disneg_Conneg,blue,no preference,blue,no preference,
1496,Disneg_Conneg,no preference,no preference,blue,blue,
1555,Disneg_Conneg,orange,no preference,blue,orange,
1537,Disneg_Conneg,no preference,no preference,no preference,no preference,
1490,Disneg_Conneg,no preference,no preference,blue,no preference,
1502,Disneg_Conneg,blue,orange,blue,orange,
1561,Disneg_Conneg,blue,no preference,blue,no preference,
1486,Disneg_Conneg,blue,blue,blue,blue,
1563,Disneg_Conneg,no preference,orange,blue,no preference,
1545,Disneg_Conneg,blue,blue,orange,blue,
1474,Disneg_Conneg,no preference,no preference,blue,blue,
1529,Disneg_Conneg,blue,blue,blue,blue,
1570,Disneg_Conneg,no preference,no preference,blue,blue,
1488,Disneg_Conneg,orange,blue,blue,blue,
1498,Disneg_Conneg,no preference,blue,blue,blue,
1519,Disneg_Conneg,blue,no preference,blue,blue,
1541,Disneg_Conneg,no preference,no preference,no preference,blue,
1523,Disneg_Conneg,blue,no preference,blue,no preference,
1553,Disneg_Conneg,blue,orange,blue,blue,
1492,Disneg_Conneg,blue,blue,blue,blue,
1557,Disneg_Conneg,blue,blue,blue,blue,
1482,Disneg_Conneg,no preference,no preference,blue,blue,
1571,Disneg_Conneg,no preference,no preference,blue,orange,
1514,Disneg_Conneg,blue,blue,blue,blue,
1567,Disneg_Conneg,blue,blue,blue,blue,
1472,Disneg_Conneg,blue,no preference,blue,no preference,
1484,Disneg_Conneg,orange,no preference,blue,no preference,
1533,Disneg_Conneg,no preference,orange,blue,orange,
1521,Disneg_Conneg,blue,blue,blue,blue,
1500,Disneg_Conneg,blue,no preference,blue,no preference,
1476,Disneg_Conneg,no preference,no preference,blue,blue,
1480,Disneg_Conneg,blue,no preference,orange,blue,
1506,Disneg_Conneg,no preference,no preference,blue,blue,
1516,Disneg_Conneg,blue,orange,blue,blue,
1531,Disneg_Conneg,blue,orange,blue,orange,
1508,Disneg_Conneg,no preference,no preference,orange,orange,
1470,Disneg_Conneg,blue,no preference,blue,blue,
1547,Disneg_Conneg,blue,blue,blue,blue,
1478,Disneg_Conneg,orange,no preference,blue,orange,
1504,Disneg_Conneg,no preference,no preference,blue,no preference,
1520,Conneg_Disneg,blue,blue,blue,blue,
1554,Conneg_Disneg,orange,blue,blue,blue,
1556,Conneg_Disneg,blue,blue,no preference,no preference,
1505,Conneg_Disneg,blue,no preference,orange,orange,
1483,Conneg_Disneg,no preference,no preference,blue,blue,
1564,Conneg_Disneg,blue,no preference,blue,no preference,
1558,Conneg_Disneg,blue,no preference,blue,blue,
1562,Conneg_Disneg,no preference,no preference,blue,blue,
1471,Conneg_Disneg,no preference,no preference,blue,blue,
1526,Conneg_Disneg,no preference,orange,orange,orange,
1493,Conneg_Disneg,no preference,no preference,blue,blue,
1499,Conneg_Disneg,blue,blue,orange,blue,
1566,Conneg_Disneg,no preference,no preference,blue,blue,
1530,Conneg_Disneg,orange,no preference,blue,blue,
1518,Conneg_Disneg,orange,no preference,blue,no preference,
1487,Conneg_Disneg,no preference,no preference,blue,blue,
1507,Conneg_Disneg,no preference,no preference,no preference,blue,
1538,Conneg_Disneg,no preference,no preference,orange,blue,
1534,Conneg_Disneg,blue,blue,blue,blue,
1473,Conneg_Disneg,no preference,no preference,orange,blue,
1513,Conneg_Disneg,blue,blue,blue,blue,
1546,Conneg_Disneg,no preference,blue,no preference,blue,
1491,Conneg_Disneg,orange,no preference,blue,blue,
1511,Conneg_Disneg,blue,orange,orange,blue,
1536,Conneg_Disneg,orange,no preference,no preference,blue,
1548,Conneg_Disneg,blue,no preference,blue,orange,
1522,Conneg_Disneg,blue,blue,blue,blue,
1540,Conneg_Disneg,blue,no preference,blue,blue,
1497,Conneg_Disneg,orange,blue,blue,blue,
1517,Conneg_Disneg,blue,blue,blue,blue,
1479,Conneg_Disneg,blue,blue,blue,blue,
1509,Conneg_Disneg,orange,orange,blue,orange,
1515,Conneg_Disneg,no preference,no preference,blue,orange,
1552,Conneg_Disneg,blue,blue,blue,blue,
1568,Conneg_Disneg,no preference,blue,orange,blue,
1542,Conneg_Disneg,blue,blue,blue,blue,
1489,Conneg_Disneg,orange,blue,blue,blue,
1524,Conneg_Disneg,blue,blue,blue,blue,
1532,Conneg_Disneg,no preference,no preference,orange,orange,
1475,Conneg_Disneg,blue,no preference,blue,blue,
1560,Conneg_Disneg,no preference,no preference,blue,blue,
1550,Conneg_Disneg,blue,blue,blue,blue,
1481,Conneg_Disneg,blue,no preference,orange,orange,
1495,Conneg_Disneg,blue,blue,blue,blue,
1503,Conneg_Disneg,blue,blue,blue,blue,
1501,Conneg_Disneg,blue,blue,blue,blue,
1485,Conneg_Disneg,blue,blue,blue,blue,
1469,Conneg_Disneg,blue,blue,blue,blue,
