workerid,proliferate.condition,explanation_response_1,explanation_response_2,intervention_response_1,intervention_response_2,error
2317,Condition_2,no preference,orange,blue,orange,
2353,Condition_2,blue,blue,no preference,no preference,
2321,Condition_2,blue,orange,blue,orange,
2307,Condition_2,no preference,orange,blue,orange,
2389,Condition_2,blue,blue,blue,blue,
2357,Condition_2,no preference,orange,blue,blue,
2314,Condition_2,no preference,no preference,blue,orange,
2337,Condition_2,orange,orange,blue,blue,
2381,Condition_2,blue,orange,blue,orange,
2345,Condition_2,blue,orange,blue,orange,
2339,Condition_2,blue,orange,blue,orange,
2325,Condition_2,blue,orange,blue,blue,
2319,Condition_2,blue,orange,blue,orange,
2409,Condition_2,blue,orange,blue,orange,
2393,Condition_2,no preference,no preference,blue,blue,
2400,Condition_2,blue,orange,blue,orange,
2398,Condition_2,no preference,blue,blue,blue,
2343,Condition_2,orange,orange,blue,orange,
2331,Condition_2,no preference,no preference,blue,blue,
2341,Condition_2,blue,orange,blue,orange,
2311,Condition_2,blue,no preference,blue,blue,
2333,Condition_2,no preference,no preference,blue,orange,
2379,Condition_2,blue,blue,blue,blue,
2355,Condition_2,blue,no preference,orange,orange,
2361,Condition_2,no preference,no preference,blue,blue,
2367,Condition_2,blue,orange,blue,orange,
2373,Condition_2,blue,orange,blue,orange,
2335,Condition_2,blue,orange,blue,blue,
2391,Condition_2,no preference,no preference,blue,orange,
2385,Condition_2,no preference,orange,blue,orange,
2412,Condition_2,no preference,orange,blue,orange,
2363,Condition_2,blue,orange,blue,orange,
2359,Condition_2,blue,orange,blue,orange,
2323,Condition_2,no preference,no preference,blue,orange,
2395,Condition_2,blue,orange,blue,orange,
2375,Condition_2,blue,no preference,blue,orange,
2411,Condition_2,blue,orange,blue,orange,
2404,Condition_2,no preference,no preference,blue,blue,
2347,Condition_2,blue,orange,blue,orange,
2397,Condition_2,blue,blue,blue,blue,
2406,Condition_2,no preference,no preference,no preference,no preference,
2371,Condition_2,orange,orange,orange,orange,
2327,Condition_2,blue,orange,blue,orange,
2402,Condition_2,blue,no preference,blue,blue,
2387,Condition_2,blue,orange,blue,orange,
2351,Condition_2,blue,orange,blue,orange,
2417,Condition_2,blue,no preference,blue,orange,
2377,Condition_2,blue,orange,blue,blue,
2410,Condition_2,blue,blue,blue,blue,
2386,Condition_1,no preference,no preference,blue,orange,
2374,Condition_1,no preference,blue,orange,blue,
2396,Condition_1,no preference,blue,blue,no preference,
2342,Condition_1,orange,blue,orange,blue,
2306,Condition_1,orange,blue,blue,blue,
2354,Condition_1,no preference,blue,orange,blue,
2378,Condition_1,no preference,no preference,orange,orange,
2312,Condition_1,orange,blue,orange,blue,
2358,Condition_1,orange,blue,orange,blue,
2364,Condition_1,orange,no preference,orange,blue,
2338,Condition_1,no preference,no preference,orange,blue,
2403,Condition_1,orange,blue,orange,blue,
2413,Condition_1,blue,blue,orange,orange,
2313,Condition_1,orange,orange,orange,orange,
2401,Condition_1,orange,blue,orange,blue,
2416,Condition_1,orange,orange,orange,orange,
2376,Condition_1,no preference,no preference,blue,blue,
2334,Condition_1,no preference,no preference,blue,no preference,
2382,Condition_1,orange,blue,orange,blue,
2370,Condition_1,blue,blue,blue,orange,
2326,Condition_1,orange,blue,blue,blue,
2384,Condition_1,no preference,blue,no preference,blue,
2388,Condition_1,no preference,no preference,orange,blue,
2380,Condition_1,no preference,no preference,blue,no preference,
2372,Condition_1,no preference,no preference,blue,blue,
2366,Condition_1,no preference,orange,orange,orange,
2352,Condition_1,orange,blue,orange,blue,
2392,Condition_1,orange,blue,orange,blue,
2348,Condition_1,no preference,blue,orange,blue,
2346,Condition_1,no preference,blue,orange,blue,
2407,Condition_1,orange,no preference,blue,blue,
2320,Condition_1,no preference,no preference,orange,blue,
2322,Condition_1,no preference,no preference,orange,orange,
2330,Condition_1,orange,no preference,orange,blue,
2340,Condition_1,orange,blue,orange,blue,
2390,Condition_1,orange,no preference,orange,no preference,
2399,Condition_1,no preference,no preference,orange,blue,
2336,Condition_1,orange,no preference,orange,blue,
2308,Condition_1,no preference,no preference,blue,orange,
2414,Condition_1,orange,blue,orange,blue,
2362,Condition_1,orange,blue,orange,blue,
2360,Condition_1,no preference,blue,orange,blue,
2318,Condition_1,no preference,blue,no preference,no preference,
2356,Condition_1,no preference,no preference,blue,blue,
2332,Condition_1,blue,no preference,orange,blue,
2316,Condition_1,no preference,no preference,blue,no preference,
2324,Condition_1,blue,blue,orange,orange,
2328,Condition_1,blue,blue,blue,blue,
2344,Condition_1,orange,blue,orange,blue,
